"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2016,128011529,"Gymea - Grays Point",1660,8733,0.1900835909767548379709149204168098019008
2016,125021478,"Oatlands - Dundas Valley",1037,7520,0.1378989361702127659574468085106382978723
2016,103021064,"Cowra Region",3,2112,0.001420454545454545454545454545454545454545
2016,127021510,"Bossley Park - Abbotsbury",637,7618,0.0836177474402730375426621160409556313993
2016,125021477,"Ermington - Rydalmere",1465,9162,0.1598995852433966382885832787600960488976
2021,105011093,"Cobar",0,1770,0
2021,107031139,"Kiama Downs - Minnamurra",86,2595,0.0331406551059730250481695568400770712909
2021,115011291,"Baulkham Hills (West) - Bella Vista",1660,10426,0.1592173412622290427776712065988873968924
2021,119041381,"Rockdale - Banksia",2652,9322,0.2844883072302081098476721733533576485733
2016,102021046,"Budgewoi - Buff Point - Halekulani",75,3227,0.023241400681747753331267431050511310815
2016,111011206,"Belmont - Bennetts Green",43,7122,0.006037629879247402415051951698960966020781
2016,111031223,"Beresfield - Hexham",7,2968,0.002358490566037735849056603773584905660377
2016,118011346,"Rose Bay - Vaucluse - Watsons Bay",2101,5145,0.4083576287657920310981535471331389698737
2021,101041017,"Batemans Bay",14,2757,0.005077983315197678636198766775480594849474
2021,107031136,"Albion Park - Macquarie Pass",187,9247,0.0202227749540391478317292094733427057424
2021,107031140,"Kiama Hinterland - Gerringong",109,3455,0.0315484804630969609261939218523878437048
2021,113031263,"Cootamundra",3,2628,0.001141552511415525114155251141552511415525
2021,118021570,"Randwick - South",2590,6801,0.3808263490663137773856785766799000147037
2021,122031424,"Beacon Hill - Narraweena",902,6659,0.1354557741402613004955699053911998798618
2021,119041377,"Kingsgrove (South) - Bardwell Park",1530,5463,0.2800658978583196046128500823723228995058
2021,125041493,"Toongabbie - Constitution Hill",1288,9652,0.1334438458350600911728139245752175714878
2016,119021363,"Canterbury (South) - Campsie",3475,12942,0.2685056405501468088394374903415237212177
2016,118021564,"Kensington (NSW)",2486,6215,0.4
2016,104021088,"Korora - Emerald Beach",12,3742,0.003206841261357562800641368252271512560128
2016,119011358,"Padstow",1449,7186,0.2016420818257723350960200389646534929029
2021,103011059,"Bathurst - East",23,5475,0.004200913242009132420091324200913242009132
2021,103021062,"Condobolin",0,2514,0
2021,111011210,"Mount Hutton - Windale",3,3328,0.000901442307692307692307692307692307692308
2021,113031264,"Gundagai",0,1528,0
2021,112011237,"Ballina Surrounds",51,7959,0.006407840180927252167357708254805880135695
