"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","CBD_DEPENDENCY_RATE","PT_SHARE","WFH_SHARE","MIXED_SHARE","TOTAL_COMMUTERS","CBD_GROWTH_RATE_16_21","BUS_CANDIDATE_SCORE"
2021,118011340,"Bondi Beach - North Bondi",5227,0.4557105492589363557105492589363557105493,0.0564369073668854850474106491611962071481,0.6452407002188183807439824945295404814004,0.002917578409919766593727206418672501823487,10968,-0.0380934854619065145380934854619065145381,0.4864817727302146326004722089338101471897
2021,118021651,"Coogee - Clovelly",4765,0.4248773963441818992420864913062862238074,0.0521755334016584365974098574489890990403,0.5983415634025901425510109009596571322091,0.003260970837603652287338116090561818690021,10733,0,0.4727658287130776402848280282077415064102
2021,117031642,"Redfern",4719,0.637616538305634373733279286582894203486,0.1022611232676878191101385849744711889132,0.6078774617067833698030634573304157549234,0.005689277899343544857768052516411378555799,6855,0,0.4700950075752844923343611385865000705345
2021,117031648,"Zetland",4637,0.6172790202342917997870074547390841320554,0.1013513513513513513513513513513513513514,0.5875503162737205290396779758481886141461,0.005462909718228867165037377803335250143761,6956,0,0.4673904772409204103594388633183332975819
2021,117031641,"Pyrmont",4810,0.6990263043162331056532480744077895654701,0.0672953964194373401534526854219948849105,0.6035805626598465473145780051150895140665,0.001438618925831202046035805626598465473146,6256,0,0.4634926306886071220435819963461676978755
2021,118011339,"Bondi - Tamarama - Bronte",4577,0.4507583218436084301753003742367539885759,0.0550921635258984656575018020801153331274,0.6257851920502522912161466378333848213366,0.003604160230666254762640304808979507774688,9711,0.007040704070407040704070407040704070407041,0.4621597494411640146451052108501477410067
2021,112031250,"Kingscliff - Fingal Head",79,0.0173055859802847754654983570646221248631,0.006535947712418300653594771241830065359477,0.2359821121431028551771585827313381492948,0.004127966976264189886480908152734778121775,5814,4.26666666666666666666666666666666666667,0.4592956641195139703291499691934883935032
2021,118011345,"Paddington - Moore Park",4596,0.5354771059070255155540020971688220901783,0.0542012127211978715505506744214824897909,0.6548694468506372973641876005444870684321,0.002722435342160623685187476797426061131048,8081,-0.0492345883326437732726520479933802234175,0.4543823483975445760679948368373622517075
2021,117031329,"Darlinghurst",4781,0.7194883370955605718585402558314522197141,0.0831878075885061120812827432925861247817,0.6116843943483092554373710112716304175266,0.000635021431973329099857120177806000952532,6299,-0.0119859475098160777020045463938830336846,0.4541759225695547594082073752074457711184
2021,122011419,"Manly - Fairlight",4426,0.363621426224120933289516924088070982583,0.0488328184002746309646412633024373498112,0.6457260556127703398558187435633367662204,0.003175420528664606934431857191898386543083,11652,-0.017317939609236234458259325044404973357,0.4513795935771941033354129913035220345547
2021,117031643,"Rosebery - Beaconsfield",4128,0.57807029827755216356252625682677496149,0.0678901820352133691435392420173082661892,0.5472993136377200835571471202626081766637,0.004327066547299313637720083557147120262608,6702,0,0.4487383076201758073339882022572422196061
2021,120031394,"Dulwich Hill - Lewisham",4073,0.4205038199463142680156927524261821185216,0.0735178751540961560013448391796481004147,0.6064104000896559453098733609772498038776,0.004819007060405693152527176958422055362546,8923,0.0735371639430680021085925144965735371639,0.443989893412071337381906303466448134166
2021,118011341,"Bondi Junction - Waverly",4068,0.4533600802407221664994984954864593781344,0.0925555686228389980007056333058920381042,0.5934376102552040456309537810184640715042,0.004939433141244266729389627190403387039868,8503,0.0699631772751183587585481325618095739085,0.4416244803949958274741326755387689336809
2021,112011240,"Byron Bay",96,0.0196439533456108041743400859422958870473,0.002170138888888888888888888888888888888889,0.3055555555555555555555555555555555555556,0,4608,4.33333333333333333333333333333333333333,0.4387018403576099348378954432281359977731
2021,120031396,"Homebush",3049,0.2874516828509474875082492693504289620062,0.1588794707463303700640893115567500516849,0.4154434566880297705189166838949762249328,0.0120942733099028323340913789538970436221,9674,0.3222029488291413703382480485689505637467,0.4377796662771875008816661161788907446374
2021,121041414,"Crows Nest - Waverton",4114,0.3880399924542539143557819279381248820977,0.0607050901168548227371756783521489403842,0.6771637948108536343830461477520301049713,0.004654387007328183798772034066151713210537,10098,-0.030859835100117785630153121319199057715,0.4367573321578168949949368462898669920391
2021,120021675,"Leichhardt",4008,0.4324557617608977125593439792835563228312,0.0422175829273950359545349106935745766643,0.6244490837392716307121317559730920900023,0.002783576896311760612386917188587334725122,8622,0,0.4337124786654593568011557827421899114119
2021,121031408,"Lindfield - Roseville",3610,0.3194973006460748738826444818125497831667,0.0477517294388931591083781706379707916987,0.6333589546502690238278247501921598770177,0.004900076863950807071483474250576479631053,10408,0.0896468457591306972532447932387564141262,0.4251692689824159080354218797150181769403
2021,121041413,"Cremorne - Cammeray",3924,0.3868296529968454258675078864353312302839,0.0473008248929727472068497441787616163726,0.6580348752218857679857993108489088441057,0.002401587135846298423305836900908426438342,9577,-0.0528602461984069514844315713251267197683,0.4216347058573088960904301719944866063997
2021,125011710,"Wentworth Point - Sydney Olympic Park",3208,0.2823446576306988206301707445872205597606,0.0690821256038647342995169082125603864734,0.5545893719806763285024154589371980676329,0.008405797101449275362318840579710144927536,10350,0,0.4212249628453526908557579450404160539324
2021,112011242,"Lennox Head - Skennars Head",57,0.0133552014995313964386129334582942830366,0.005160973212091422954042762349471614647333,0.2376505283853526665028262472351929220939,0,4069,3.75,0.4207983051768138555054171787312286414755
2021,121041416,"Neutral Bay - Kirribilli",3921,0.4086077532305127136306794497707378074198,0.0674512367876212269804947150484907921979,0.662307943772474664923177508989865969271,0.003160074098289201264029639315680505611856,9177,-0.1212460779919318691169878978036754818467,0.4177107838200101621840097092228685749974
2021,116021632,"Schofields - East",2350,0.1908087041247158168236440402728158493017,0.0610577354763401275029182005926191972704,0.5273412947831552482715273412947831552483,0.0151746430816198258058723175002244769687,11137,0,0.4136302703394165889102442912450285018693
2021,118021569,"Randwick - North",3621,0.4140178367253601646466956322890464212211,0.0636297020029311187103077674645823155838,0.5759648265754763067904250122129946262824,0.002320468978993649242794333170493404982902,8188,-0.0364555614688664183076104310803618946248,0.4122929823379721459004158606760545500082
