"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","WFH_COMMUTERS","TOTAL_COMMUTERS","WFH_RATE"
2016,120021388,"Leichhardt - Annandale",837,13189,0.0634619758889984077640457957388733035105
2016,120031394,"Dulwich Hill - Lewisham",349,8325,0.0419219219219219219219219219219219219219
2016,121021404,"Berowra - Brooklyn - Cowan",371,5498,0.0674790833030192797380865769370680247363
2016,121021579,"Waitara - Wahroonga (West)",210,4142,0.0507001448575567358763882182520521487204
2016,121031408,"Lindfield - Roseville",869,9922,0.0875831485587583148558758314855875831486
2016,121041414,"Crows Nest - Waverton",622,10366,0.0600038587690526721975689754968165155315
2016,122031430,"Manly Vale - Allambie Heights",554,7615,0.072751149047931713722915298752462245568
2016,123011433,"Camden - Ellis Lane",283,5636,0.0502129169623846699787083037615330021292
2016,124041468,"Yarramundi - Londonderry",256,2962,0.0864280891289669142471303173531397704254
2016,125021477,"Ermington - Rydalmere",344,8887,0.0387082254979183076403735793856194441319
2016,125021478,"Oatlands - Dundas Valley",370,7364,0.0502444323737099402498642042368278109723
2021,103041077,"Orange",799,7357,0.1086040505640886230800598069865434280277
2021,104011081,"Grafton Surrounds",786,5487,0.1432476763258611262985237834882449425916
2021,105011093,"Cobar",168,1598,0.1051314142678347934918648310387984981227
2021,106011111,"Kurri Kurri - Abermain",973,7467,0.1303066827373777956341234766305075666265
2021,106021116,"Maitland - North",958,3695,0.2592692828146143437077131258457374830853
2021,107031136,"Albion Park - Macquarie Pass",1817,8159,0.222698860154430690035543571516117171222
2021,107031138,"Kiama",975,3080,0.3165584415584415584415584415584415584416
2021,107031139,"Kiama Downs - Minnamurra",764,2366,0.3229078613693998309382924767540152155537
2021,107031140,"Kiama Hinterland - Gerringong",1046,3199,0.3269771803688652703969990622069396686465
2021,107041146,"Figtree - Keiraville",3007,8938,0.3364287312597896621168046542850749608414
2021,108011152,"Forster",496,4425,0.1120903954802259887005649717514124293785
2021,108041620,"Port Macquarie - South",1012,6400,0.158125
2021,109011176,"Lavington",394,5943,0.0662964832576139996634696281339390880027
2021,101041017,"Batemans Bay",262,2673,0.0980172091283202394313505424616535727647
2021,101041026,"Moruya - Tuross Head",373,2889,0.129110418830044998269297334717895465559
2021,102011034,"Kincumber - Picketts Valley",788,2555,0.3084148727984344422700587084148727984344
2021,102011039,"Terrigal - North Avoca",2431,6054,0.4015526924347538817310868847043277172118
2021,102011040,"Umina - Booker Bay - Patonga",2957,8249,0.3584676930537034792096011637774275669778
2021,102011041,"Wamberal - Forresters Beach",1610,4363,0.3690121476048590419436167774467109786844
2021,102011043,"Wyoming",1217,3957,0.3075562294667677533484963356077836745009
2021,102021044,"Bateau Bay - Killarney Vale",2169,8127,0.2668881506090808416389811738648947951274
2021,102021047,"Chittaway Bay - Tumbi Umbi",1755,6330,0.2772511848341232227488151658767772511848
2021,102021049,"Jilliby - Yarramalong",504,1518,0.3320158102766798418972332015810276679842
2021,103011059,"Bathurst - East",582,5069,0.1148155454724797790491221148155454724798
2021,103011061,"Oberon",242,1836,0.1318082788671023965141612200435729847495
2021,103021062,"Condobolin",351,2428,0.1445634266886326194398682042833607907743
2021,103031072,"Mudgee",403,5184,0.0777391975308641975308641975308641975309
2021,117031645,"Sydney (South) - Haymarket",3469,9092,0.3815442146942366915970083589969203695557
2021,118021567,"Maroubra - South",2179,4500,0.4842222222222222222222222222222222222222
2021,118021568,"Maroubra - West",2019,4408,0.4580308529945553539019963702359346642468
2021,118021570,"Randwick - South",3437,6345,0.5416863672182821118991331757289204097715
2021,119011655,"Greenacre - North",1288,3635,0.3543328748280605226960110041265474552957
2021,119021362,"Belmore - Belfield",2498,6228,0.4010918432883750802825947334617854849069
2021,119021573,"Lakemba",994,3909,0.2542849833717063187515988743924277308775
2021,119031373,"Riverwood",1320,3425,0.3854014598540145985401459854014598540146
2021,119031664,"Hurstville - Central",1565,4844,0.3230800990916597853014037985136251032205
2021,119041377,"Kingsgrove (South) - Bardwell Park",2258,4877,0.4629895427516916136969448431412753742055
2021,119041381,"Rockdale - Banksia",2702,8423,0.3207883177015315208358067196960702837469
2021,119041668,"Arncliffe - Bardwell Valley",2723,6452,0.4220396776193428394296342219466831990081
2021,120021675,"Leichhardt",5384,8622,0.6244490837392716307121317559730920900023
2021,121011399,"Chatswood (West) - Lane Cove North",6071,10218,0.5941475826972010178117048346055979643766
2021,121011687,"Willoughby",3484,5614,0.6205913786961168507303170644816530103313
2021,109021179,"Wentworth-Balranald Region",281,1533,0.1833007175472928897586431833007175472929
2021,109031180,"Corowa",141,2083,0.0676908305328852616418626980316850696111
2021,111011210,"Mount Hutton - Windale",579,3014,0.1921035169210351692103516921035169210352
2021,111021221,"West Wallsend - Barnsley - Killingworth",482,3055,0.1577741407528641571194762684124386252046
2021,111031228,"Merewether - The Junction",2252,6791,0.3316153732881755264320424090708290384332
2021,112011237,"Ballina Surrounds",1572,7457,0.210808636180769746546868713960037548612
2021,112021245,"Casino Surrounds",513,2633,0.1948347892138245347512343334599316369161
2021,113031263,"Cootamundra",264,2561,0.1030847325263568918391253416634127294026
