"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","TOTAL_COMMUTERS_OD","INTERNAL_COMMUTERS","OUTFLOW_COMMUTERS","SELF_CONTAINMENT_RATE"
2016,126021497,"Eastwood - Denistone",11179,1604,9575,0.1434833169335360944628320958940871276501
2016,119011356,"Condell Park",3998,657,3341,0.1643321660830415207603801900950475237619
2016,115011294,"Glenhaven",2849,403,2446,0.1414531414531414531414531414531414531415
2016,119021574,"Wiley Park",3436,321,3115,0.0934225844004656577415599534342258440047
2016,108021157,"Macksville - Scotts Head",1463,933,530,0.6377306903622693096377306903622693096377
2016,106021116,"Maitland - North",3474,454,3020,0.1306850892343120322394933793897524467473
2016,116011306,"Doonside - Woodcroft",9866,658,9208,0.0666936955199675653760389215487532941415
2016,121031408,"Lindfield - Roseville",10484,1668,8816,0.1590995803128576879053796260969095764975
2016,116011561,"Blacktown (West)",6930,439,6491,0.0633477633477633477633477633477633477633
2016,105011094,"Coonamble",1470,1320,150,0.8979591836734693877551020408163265306122
2016,104021087,"Dorrigo",1070,820,250,0.7663551401869158878504672897196261682243
2016,108041166,"Wauchope",3930,1699,2231,0.4323155216284987277353689567430025445293
2016,110041200,"Gunnedah Region",1815,1084,731,0.5972451790633608815426997245179063360882
2016,105021098,"Far West",897,784,113,0.8740245261984392419175027870680044593088
2016,105031104,"Gilgandra",1737,1461,276,0.8411053540587219343696027633851468048359
2016,109021178,"Wentworth - Buronga",1125,1040,85,0.9244444444444444444444444444444444444444
2016,106011113,"Singleton Region",2049,830,1219,0.4050756466569058077110785749145924841386
2016,110031196,"Moree Region",2229,1576,653,0.7070435172723194257514580529385374607447
2016,110011189,"Walcha",1374,1242,132,0.9039301310043668122270742358078602620087
2016,110041204,"Tamworth - West",1821,682,1139,0.3745194947830862163646348160351455244371
2016,120031394,"Dulwich Hill - Lewisham",8853,670,8183,0.0756805602620580594148876087202078391506
2016,124041468,"Yarramundi - Londonderry",2920,676,2244,0.2315068493150684931506849315068493150685
2021,101041026,"Moruya - Tuross Head",2936,2116,820,0.7207084468664850136239782016348773841962
2021,102011034,"Kincumber - Picketts Valley",2837,611,2226,0.2153683468452590764892492069087063799789
2021,102011039,"Terrigal - North Avoca",6706,1550,5156,0.2311362958544586937071279451237697584253
2021,102011043,"Wyoming",4473,724,3749,0.16186004918399284596467695059244355019
2021,102021044,"Bateau Bay - Killarney Vale",8933,1981,6952,0.2217620060450016791671331019814172170603
2021,102011040,"Umina - Booker Bay - Patonga",8981,2427,6554,0.270237167353301414096425787774189956575
2021,102021049,"Jilliby - Yarramalong",1557,399,1158,0.2562620423892100192678227360308285163776
2021,102021047,"Chittaway Bay - Tumbi Umbi",7078,1468,5610,0.2074032212489403786380333427521898841481
2021,103011061,"Oberon",1906,1528,378,0.8016789087093389296956977964323189926548
2021,103041077,"Orange",7823,5889,1934,0.7527802633260897353956282755975968298607
2021,107031138,"Kiama",3220,1159,2061,0.3599378881987577639751552795031055900621
2021,107041146,"Figtree - Keiraville",10027,1824,8203,0.1819088461154881819088461154881819088461
2021,108011152,"Forster",4635,2910,1725,0.6278317152103559870550161812297734627832
2021,109021179,"Wentworth-Balranald Region",1194,1107,87,0.9271356783919597989949748743718592964824
2021,109011176,"Lavington",4823,1572,3251,0.3259382127306655608542400995231183910429
2021,111031228,"Merewether - The Junction",7479,1305,6174,0.1744885679903730445246690734055354993983
2021,111021221,"West Wallsend - Barnsley - Killingworth",3374,364,3010,0.1078838174273858921161825726141078838174
2021,112021245,"Casino Surrounds",2754,1038,1716,0.3769063180827886710239651416122004357298
2021,114011283,"Ulladulla Surrounds",1879,638,1241,0.339542309739222990952634379989356040447
2021,113031267,"Wagga Wagga - East",7797,2532,5265,0.3247402847248941900731050404001539053482
2021,113031268,"Wagga Wagga - North",2744,571,2173,0.20809037900874635568513119533527696793
2021,119021573,"Lakemba",4444,662,3782,0.148964896489648964896489648964896489649
2021,117031645,"Sydney (South) - Haymarket",10301,2037,8264,0.197747791476555674206387729346665372294
2021,116021629,"Marsden Park - Shanes Park",7343,759,6584,0.1033637477870080348631349584638431158927
2021,117011325,"Sydney Airport",10,3,7,0.3
2021,116021632,"Schofields - East",12316,1144,11172,0.0928873010717765508281909710945112049367
2021,122021420,"Avalon - Palm Beach",5699,2222,3477,0.3898929636778382172310931742410949289349
2021,121031409,"Pymble",8094,1589,6505,0.1963182604398319743019520632567333827527
2021,121031411,"Turramurra",8895,1817,7078,0.2042720629567172568858909499718943226532
2021,121011399,"Chatswood (West) - Lane Cove North",11096,1284,9812,0.1157173756308579668348954578226387887527
